REFUSE_AREA,NEW_ROUTE_ID,Residual_Week,Residual_Day,Recylcing_Week,Recycling_Day,Glass_Week,Glass_Day,Column1,Column2,Postcode,FULL_ADDRESS,NOTE,Column3
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 1, 28 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 1/1, 34 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 1/2, 34 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 2/1, 28 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 2/1, 34 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 2/2, 28 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 2/2, 34 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 3/1, 34 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_1,1,Monday,1,Friday,,,,,PA20 0BT,"FLAT 3/2, 34 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_11,1,Wednesday,2,Friday,,,,,PA20 9DP,,No Change,7.00 am
BUTE,Bute_11,1,Wednesday,2,Friday,,,,,PA20 9DU,,No Change,7.00 am
BUTE,Bute_12,1,Thursday,1,Wednesday,,,,,PA20 0LF,,No Change,7.00 am
BUTE,Bute_12,1,Thursday,1,Wednesday,,,,,PA20 0NE,,No Change,7.00 am
BUTE,Bute_12,1,Thursday,1,Wednesday,,,,,PA20 0NR,,No Change,7.00 am
BUTE,Bute_12,1,Thursday,1,Wednesday,,,,,PA20 0NS,,No Change,7.00 am
BUTE,Bute_12,1,Thursday,1,Wednesday,,,,,PA20 0NT,,No Change,7.00 am
BUTE,Bute_12,1,Thursday,1,Wednesday,,,,,PA20 0NX,,No Change,7.00 am
BUTE,Bute_13,1,Thursday,1,Tuesday,,,,,PA20 0LG,,No Change,7.00 am
BUTE,Bute_13,1,Thursday,1,Tuesday,,,,,PA20 0LQ,,No Change,7.00 am
BUTE,Bute_13,1,Thursday,1,Tuesday,,,,,PA20 0NY,,No Change,7.00 am
BUTE,Bute_13,1,Thursday,1,Tuesday,,,,,PA20 0PB,,No Change,7.00 am
BUTE,Bute_13,1,Thursday,1,Tuesday,,,,,PA20 0PP,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"ACHOLTER FARM, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,All addresses at this postcode except those listed below,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"CRANSLAGLOAN, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"CRANSLAGMORY FARM, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"EAST ST COLMAC, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"EDINMORE COTTAGE (WEST), PORT BANNATYNE, ROTHESAY, BUTE",No Change,7.00 am
